Date,AAPL.US,MSFT.US,GOOGL.US,META.US,JNJ.US,UNH.US,PFE.US,JPM.US,BAC.US,BLK.US,GS.US,AMZN.US,HD.US,MCD.US,CAT.US,LMT.US,HON.US,XOM.US,CVX.US,COP.US
2015-01-15,23.7624,39.0537,25.1094,74.05,82.6692,88.7117,24.2279,44.2698,13.0501,264.259,154.816,14.3475,84.2161,74.2225,67.505,154.155,73.2923,61.0705,72.6286,48.0282
2015-01-16,23.5741,39.7073,25.4303,75.18,83.9214,89.8342,24.5305,45.0272,13.2013,268.587,153.709,14.537,86.8098,74.313,67.1371,156.018,74.1278,62.5515,74.3628,49.3348
2015-01-20,24.1804,39.8352,25.4049,76.24,81.7021,89.7012,24.7569,44.8475,13.0992,267.469,152.327,14.472,86.0846,73.7493,67.2268,156.871,74.6995,62.5321,75.3157,49.4177
2015-01-21,24.3734,39.431,25.9256,76.74,82.1916,92.8391,24.4105,44.99,13.2279,269.685,153.64,14.8625,86.3162,73.3747,68.3465,156.676,74.9025,63.069,76.5134,50.476
2015-01-22,25.0031,40.4709,26.7679,77.65,83.6832,96.6809,24.5393,46.3604,13.8103,278.39,157.884,15.516,88.4467,73.8241,69.5065,158.745,75.0088,63.7547,77.047,51.0684
2015-01-23,25.1341,40.513,26.9996,77.83,82.4426,95.1145,24.2699,45.6286,13.5029,274.038,156.551,15.6195,87.852,72.7423,68.5388,158.206,77.3649,62.3979,75.5859,50.561
2015-01-26,25.1579,40.3686,26.7391,77.5,82.472,94.7727,24.5305,45.7012,13.6069,275.785,156.493,15.483,88.6881,73.6451,68.8752,156.803,76.894,62.9921,77.0255,51.4753
2015-01-27,24.2759,36.6306,25.9653,75.78,82.3484,93.4393,24.3831,45.2414,13.4175,271.23,153.072,15.3375,87.6694,72.7511,63.9261,152.682,76.1479,62.4379,76.5827,51.2568
2015-01-28,25.6515,35.3687,25.5289,76.24,81.8503,92.0982,23.8932,44.0724,13.0501,266.239,150.151,15.1955,87.3211,72.1109,64.0553,151.671,75.3363,60.3752,73.363,48.9424
2015-01-29,26.4538,36.0729,25.5688,78.0,82.576,92.9045,23.8034,44.816,13.2446,267.698,152.651,15.589,89.7254,75.7578,64.0473,154.262,75.5962,60.1213,72.8617,49.1327
